genre,style,country,mood,biography
,,,,
Country,Country,"Nashville, Tennessee, USA",,"Luke Albert Combs (born March 2, 1990) is an American country music singer and songwriter.

Luke Combs was born in Charlotte, North Carolina, and grew up in Asheville, North Carolina. He has been performing as a vocalist since his childhood. While attending A.C. Reynolds High School, Combs played football and performed with multiple vocal groups, including performing a solo in the world-renowned Carnegie Hall. Later, he attended Appalachian State University before moving to Nashville to pursue a career in music.

Combs released his first EP, The Way She Rides, in February 2014. Later that year, he released his second EP, Can I Get an Outlaw. In 2015, Combs' first single, ""Hurricane"", sold 15,000 copies in the first week, and debuted at No. 46 on the Billboard Hot Country Songs chart. In November 2015, Combs released his third EP, This One's for You. Combs then signed a deal with Sony Music Nashville, and ""Hurricane"" was re-released on Columbia. The single peaked at No. 3 on Billboard's Hot Country Songs.

In early 2017, the singer/songwriter was named one of Sounds Like Nashville's ""Artist to Watch""."
Latin,Urban/R&B,"San Juan, Puerto Rico, U.S.",Carefree,"Benito Antonio Martínez Ocasio (born March 10, 1994), known by his stage name Bad Bunny, is a Puerto Rican Latin trap singer. While working in a supermarket as a bagger and studying at University of Puerto Rico at Arecibo, Bad Bunny gained popularity on SoundCloud. His breakthrough single, ""Soy Peor"", established him as a forerunner in the Latin American trap scene. He has earned multiple top-ten entries on the US Hot Latin Songs chart. He collaborated with J Balvin and Prince Royce for the hit single ""Sensualidad"", and with Cardi B and Balvin on the Billboard Hot 100 number-one single ""I Like It""."
Pop,Folk,"Sant Esteve Sesrovires, España",,"Rosalía Vila Tobella (born 25 September 1992), known mononymously as Rosalía, is a Spanish singer and actress from Sant Esteve Sesrovires, Spain. Known for her modern interpretations of flamenco music, Rosalía crossed the Spanish boundaries after receiving praise from international influencers and after several collaborations with artists such as J Balvin and Pharrell Williams."
Reggae,Reggae,"Kingston, Jamaica",Cheerful,"Sean Paul Ryan Francis Henriques (born January 9, 1973), who performs under stage name Sean Paul, is a Jamaican dancehall and reggae artist.

Sean Paul was born in Kingston and spent his early years in Upper Andrew Parish, a few miles north of Kingston. His parents, Garth and Frances, were both talented athletes, and his mother is a well-known painter. His paternal grandfather was a Sephardic Jew whose family emigrated from Portugal, and his paternal grandmother was Afro-Caribbean; his mother is of English and Chinese Jamaican descent. Sean Paul was raised as a Catholic. Many members of his family are swimmers. His grandfather was on the first Jamaican men's national water polo team. His father also played water polo for the team in the 1960s, and competed in long-distance swimming, while Sean Paul's mother was a backstroke swimmer. Sean Paul played for the national water polo team from the age of thirteen to twenty-one, when he gave up the sport in order to launch his musical career. He attended the Wolmers High School for Boys, Belair School, Hillel Academy High School, and the College of Arts, Science, and Technology, now known as the University of Technology, where he was trained in commerce with a view to pursuing an occupation in hotel management."
Latin,,"San Juan, Puerto Rico",,"Raúl Alejandro Ocasio Ruiz (born January 10, 1993), known professionally as Rauw Alejandro, is a Puerto Rican musician, singer, songwriter, rapper, record producer, and dancer. Referred to as the ""King of Modern Reggaeton"", he belongs to ""the new generation"" of Puerto Rican urban musicians. His debut studio album, Afrodisíaco, was released in November 2020. His second studio album, Vice Versa, released in June 2021, featured the lead single ""Todo de Ti"". He has won one Latin Grammy Award from four nominations."
Reggae,,"Medellín, Colombia",,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia. At age 17, he moved to the United States. He moved to Oklahoma and New York to learn English and was influenced by the music he heard there. He then returned to Medellín and gained popularity performing at clubs in the city.
His breakthrough came in 2014 with the single ""6 AM"" featuring Puerto Rican singer Farruko which peaked at number 2 on the Billboard Hot Latin Songs chart. The song, along with the single ""Ay Vamos"", bolstered sales of his album La Familia (2014). In 2016, he released Energia, which included the hit singles ""Ginza"", ""Bobo"", ""Safari"", and ""Sigo Extranandote"". In June 2017, J Balvin released the single ""Mi Gente"" featuring Willy William. On 1 August 2017, ""Mi Gente"" topped the Global Top 50 on Spotify, and later reached one billion views on YouTube. The song, and its remix featuring American artist Beyoncé, helped J Balvin achieve international fame. In January 2018, he released the hit single ""Machika"" featuring Jeon and Anitta. He collaborated with Cardi B and Bad Bunny on the US Billboard Hot 100 number-one single ""I Like It"".

Though his music is primarily reggaeton, J Balvin has experimented with a variety of musical genres in his work, including electronica, house music, trap, and R&B. His original musical inspirations were rock groups such as Metallica and Nirvana. He has collaborated with artists such as Pharrell Williams, Major Lazer, and Sean Paul. Despite working with many English-speaking artists, J Balvin continues to sing almost exclusively in Spanish, and hopes to introduce Spanish-language music to a global audience. He is also noted for his eclectic and colorful fashion sense."
Gospel,,"Detroit, MI",,"Originally from Detroit, Michigan, the six original members were Fred Hammond, Mitchell Jones, Keith Staten, Karl Reid, Michael Brooks, and Michael Williams formed a group in 1982, two years after Hammond played bass for The Winans. In 1990 Staten and Brooks left the group and were replaced with Marvin Sapp, Maxx Frank, and Eddie Howard, Jr. By 1994 Howard had left the group, and Williams left a year later. Hammond also left to pursue a career with the choir Radical For Christ. He was replaced by Montrell Darrett. By 1999, Marcus Cole and Chris Poole had taken the place of Sapp, Frank and Darrett on the group's last studio album.

In 2002 Commissioned released a reunion album recorded live at the Straightgate Church in Detroit, Michigan on October 26, 2001, which brought back most of the group's former members and featured most of its greatest hits.

The group performed live on stage during the 2002 Stellar Awards in Atlanta, Georgia.

In 2011, they were honored at the BMI Awards after the Stellar Awards. Gospel singers such as Dawkins & Dawkins, Deitrick Haddon, Marvin Sapp, The Soul Seekers, The Clark Sisters, and Men of Standard sang musical tributes. The members who were present at the event were Fred Hammond, Keith Staten, Marvin Sapp, Mitchell Jones, Karl Reid, Michael Williams, Michael Brooks, Maxx Frank, Montrell Darrett, and Marcus Cole. The group sang ""Victory"" from their sophomore record, Go Tell Somebody.

The R&B group Silk remade the Commissioned ballad ""Cry On"" for the 1994 soundtrack for the movie Blankman.

In 2019, Fred Hammond, Michael Brooks, Keith Staten, Marvin Sapp, Karl Reid, Mitchell Jones and Michael Williams came back together to do another reunion concert. This concert was hosted by the Pentecostal Assemblies of the World Incorporated. The group was invited to perform to celebrate the 104th Summer Convention of the P.A.W Inc."
Country,Country,"Maces Spring, Virginia, USA",,"The Carter Family was a traditional American folk music group that recorded between 1927 and 1956. Their music had a profound impact on bluegrass, country, Southern Gospel, pop and rock musicians as well as on the U.S. folk revival of the 1960s. They were the first vocal group to become country music stars. Their recordings of songs as “Wabash Cannonball”, “Can the Circle Be Unbroken”, “Wildwood Flower”, “Keep On the Sunny Side” and their most well-known “I'm Thinking Tonight of My Blue Eyes” made them country standards, especially the latter which had significant re-exposure as Roy Acuff's “The Great Speckled Bird”, Kitty Wells' “It Wasn't God Who Made Honky Tonk Angels” and Hank Thompson's “The Wild Side of Life” making the song a hit all over again in other incarnations.

The original group consisted of Alvin Pleasant ""A.P."" Delaney Carter (1891–1960), his wife Sara Dougherty Carter (1898–1979), and his sister-in-law Maybelle Addington Carter (1909–1978). Maybelle was married to A.P.'s brother Ezra (Eck) Carter and was also Sara's first cousin. All three were born and raised in southwestern Virginia, where they were immersed in the tight harmonies of mountain gospel music and shape note singing.

Throughout the group's career, Sara Carter sang lead vocals; Maybelle sang harmony and accompanied the group instrumentally; on some songs A.P. did not perform at all but at times sang harmony and background vocals and once in a while, lead vocal. Maybelle's distinctive guitar playing style became a hallmark of the group.  In all, various Carter family members were added to varying lineups of the Carter Family, with the final lineup consisting of Helen Carter, Anita Carter, and June Carter Cash.  
"
Reggae,,,,"Christafari are trailblazers, continually pioneering the genre of Gospel reggae in the U.S. and throughout the world. They have performed in 46 states, 50 nations, at two Olympic Games and even before the President of the United States of America. This multicultural 9-member group is lead by vocalist and founder, pastor Mark Mohr. With their blend of traditional roots and contemporary dancehall reggae, they proclaim an uncompromising message of hope and salvation to this lost generation. After two decades, the band is going stronger than ever with a new album and a relentless tour schedule that will have them performing 100 shows in 25 nations. Christafari was founded in 1989 by songwriter, producer, and lead vocalist, Mark Mohr. Raised in a Christian family, Mark strayed from his spiritual upbringing during his teens and turned to hard drugs, alcohol and even growing marijuana. After having an undeniable encounter with God at a youth camp just before turning 18, Mohr re-committed his life to God and took what he now calls his ""Freedom Step"" out of addiction. At that point, his greatest desire was to help others step out of the same bondage that once entangled him. He felt God impressing on his heart to start the first gospel reggae band in America. It would be a counter-cult, drug aversion ministry that used the uplifting sounds of reggae to bring the lost into the light. This fledgling band was birthed just two weeks later at a camp talent show. He initially called the group The Christafarians and then later shortened the name to Christafari (pronounced CHRIST-AH-FAR-EYE) inspired by the Greek word given to a group of people who collectively represent Christ. ""The best advice I was ever given was to go to Bible College so I could be theologically and doctrinally sound,"" says Mark. He studied at BIOLA University in Los Angeles, majoring in Christian Education. During his years at BIOLA, the group continued taking shape as Mark wrote songs for Christafari's first three albums, ""Reggae Worship Vol. 1"" (Frontline), ""Soul Fire"" and ""Valley of Decision"" (Gotee). ""Valley of Decision"" went on to become the best selling gospel reggae album in the history of the genre. "
Gospel,Urban/R&B,,,"BeBe Winans (born Benjamin Winans, 17 September 1962, in Detroit, Michigan) is a Grammy Award Wining gospel and R&B singer.He is a member of the noted Winans family, many members of which are also gospel artists.

He released several albums, first with his sister CeCe Winans, and later as a solo artist. He currently hosts his own nationally syndicated radio program, The BeBe Winans Radio Show. In 1989, BeBe won His First Grammy for Best Soul Gospel Performance, Male for his contribution to “Abundant Life”, a track on his brother Ronald’s Family & Friends Choir "
Hip-Hop,,"Louisville, Kentucky, US",Excitable,"Bryson Tiller is an American singer-songwriter and occasional rapper from Louisville, Kentucky. His debut studio album, T R A P S O U L, released on October 2, 2015.
Tiller started receiving massive internet attention from music industry insiders with his breakout single ""Don't"" which he originally released on his SoundCloud page, having accumulated over 35 million streams. Early co-signs from super producer Timbaland and Canadian rapper/singer Drake led to multiple major label deals for Bryson, with him eventually choosing to sign a creative partnership with RCA Records on August 25, 2015.

T R A P S O U L debuted at Number 11 on the Billboard 200."
Soul,Urban/R&B,"Detroit, USA",Smooth,"The Temptations are an American vocal group known for their success in the 60s and 70s at Motown Records. The group's repertoire has included, during its five-decade career, R&B, doo-wop, funk, disco, soul, and adult contemporary music. Known for their recognizable choreography, distinct harmonies, and flashy onstage suits, the Temptations have been said to be as influential to soul as The Beatles are to pop and rock.
Formed in Detroit, Michigan, in 1960 as The Elgins (not to be confused with another Motown group with the same name), the Temptations have always featured at least five male vocalists/dancers. Having sold tens of millions of albums, the Temptations are one of the most successful groups in music history. As of 2010, the Temptations continue to perform and record for Universal Records with its one living original member, Otis Williams, still in its lineup.
The original lineup included members of two local Detroit vocal groups: from The Distants, second tenor Otis Williams, first tenor Elbridge ""Al"" Bryant, and bass Melvin Franklin; and from The Primes, first tenor/falsetto Eddie Kendricks and second tenor/baritone Paul Williams (no relation to Otis). Among the most notable future Temptations were lead singers David Ruffin and Dennis Edwards (both later solo artists), Ali-Ollie Woodson, Ron Tyson, Glenn Leonard, Damon Harris, Richard Street, Theo Peoples, and G. C. Cameron. Like its ""sister"" female group, the Supremes, the Temptations' lineup has changed frequently over the years.
Over the course of their career, the Temptations have released four Billboard Hot 100 number-one singles and 14 Billboard R&B number-one singles. Their material has earned them three Grammy Awards, while two more awards were conferred upon the songwriters and producers who crafted their 1972 hit ""Papa Was a Rollin' Stone"". The Temptations were the first Motown act to earn a Grammy Award. Six Temptations (Dennis Edwards, Melvin Franklin, Eddie Kendricks, David Ruffin, Otis Williams, and Paul Williams) were inducted into the Rock and Roll Hall of Fame in 1989. Three classic Temptations songs, ""My Girl"", ""Ain't Too Proud to Beg"", and ""Papa Was a Rollin' Stone"", are among The Rock and Roll Hall of Fame's 500 Songs that Shaped Rock and Roll."
R&B,Urban/R&B,"New Orleans, Louisiana, USA",,"Christopher Francis Ocean (born Christopher Breaux; October 28, 1987), better known by his stage name Frank Ocean, is an American singer-songwriter from New Orleans, Louisiana. Breaux made an early career as a ghost-writer for artists such as Justin Bieber, Bridget Kelly, Aramide Makinde and John Legend. In mid 2010 he became a member of OFWGKTA premiering on Domo Genesis' track, ""SteamRoller"". In February 2011, he released his debut mixtape, Nostalgia, Ultra, to critical acclaim. He released two singles; ""Novacane"" and ""Swim Good"". Both singles achieved chart success. Ocean went on a 7 show tour through North America and Europe promoting the mixtape. He is currently located in New York City.

The mixtape caught the interest of recording artists such as Kanye West, Beyoncé Knowles and Jay-Z, and he appeared on Watch the Throne. On January 5, 2012, the BBC announced that he had finished in second place in the BBC's Sound of 2012 poll. Ocean is currently working on his debut studio album, set to be released Summer 2012, while the same year he appeared at Coachella and he is scheduled to appear at Lollapalooza. His debut album, Channel Orange, is reportedly set to be released on July 17, 2012.

Frank Ocean began his career with the producer duo The MIDI Mafia. Ocean joined Los Angeles-based hip hop collective OFWGKTA, whom he met through his connections, at the end of 2009. In late 2009, he met Tricky Stewart, who helped Ocean sign a contract with Def Jam Recordings as a solo artist, however, he was initially unable to build a relationship with the company. In 2010, he changed his name from Christopher Breaux to Christopher Francis William Ocean via a legal website."
Country,Country,"Conyers, Georgia",,"Jaten Collin Dimsdale, known by his stage name Teddy Swims, is an American singer-songwriter, known for blending genres including R&B, soul, country, and pop. Originally attracting fans through his cover performances on his YouTube channel, Swims released his debut major label single in January 2020. He has since released four EPs as well as a debut album I've Tried Everything but Therapy (Part 1) in 2023.

Early life
Swims grew up in Conyers, Georgia. His father introduced him to soul music at an early age by way of artists like Marvin Gaye, Stevie Wonder, and Al Green. Swims' family were football enthusiasts; he had been playing football for ten years when one of his teachers suggested he and a few of his teammates sign up for a musical theater class. The teacher also said he should join the chorus. It was his second year at Salem High School.

At first his mother, Glenna Fox, was unconvinced he should be in the class. Swims noted his height and said he was more likely to get a theater scholarship than to get one in football.

Swims discovered his passion for performance through his high school theater experience, where he performed in musicals including Joseph and the Amazing Technicolor Dreamcoat as well as Shakespeare plays. He began playing instruments including piano and ukulele, and watched YouTube videos of singers to help develop his vocal technique. He is also known by former stage name “Theodore Sinks”. This didn’t float so well with audiences, hence the change to Teddy Swims"
Soul,Urban/R&B,"Virginia, USA",Carefree,"William Harrison ""Bill"" Withers, Jr. (born July 4, 1938 - † 30. März 2020 in Los Angeles) was an American singer-songwriter and musician who performed and recorded from 1970 until 1985. He recorded a number of hits such as ""Lean on Me"", ""Ain't No Sunshine"", ""Use Me"", ""Just the Two of Us"", ""Lovely Day"", and ""Grandma's Hands"". His life was the subject of the 2009 documentary film Still Bill.

Withers was born the youngest of six children in the small coal-mining town of Slab Fork, West Virginia. Raised in nearby Beckley, West Virginia, Withers was thirteen years old when his father died. He enlisted with the United States Navy at age eighteen and served for nine years, during which time he became interested in singing and writing songs. Discharged from the Navy in 1965, he relocated to Los Angeles in 1967 for a musical career.

Withers worked as an assembler for several different companies, including Douglas Aircraft Corporation, while recording demo tapes with his own money, shopping them around and performing in clubs at night. When he debuted with the song ""Ain't No Sunshine"" he refused to resign his job because of his belief that the music business was a fickle industry and that he was still a novice compared to other acts."
Soul,Urban/R&B,"Washington, D.C., USA",Happy,"Marvin Pentz Gay, Jr. (April 2, 1939 - April 1, 1984), better known by his stage name Marvin Gaye (he added the 'e' as a young man), was an acclaimed American singer-songwriter and musician who achieved major success in the 1960s and 1970s as an artist for the Motown label.
Born and raised in Washington, D.C., Gaye was the son of a storefront minister of a local Pentecostal church and grew up singing in his father's church, later learning to play piano and drums. As a teenager, he discovered doo-wop and joined local doo-wop groups in the D.C. area. After dropping out of school and briefly enlisting in the United States Air Force, he returned to D.C. where he formed the Marquees, who were first discovered by Bo Diddley and later was mentored by Harvey Fuqua, who changed their name to ""Harvey & The New Moonglows"", recording for Chess Records for two years. Later leaving the Moonglows for a solo career as Harvey Fuqua's protege, he settled for work in Detroit labels such as Anna and Tri-Phi Records before joining Motown in 1961.
Initially earning pay as a session drummer and encompassing a three-octave vocal range, Gaye eventually became Motown's top-selling solo artist of the 1960s. He was crowned ""The Prince of Motown"" and ""The Prince of Soul"" because of solo hits such as ""How Sweet It Is (To Be Loved by You)"", ""Ain't That Peculiar"", ""I Heard It Through the Grapevine"" and his duet singles with singers such as Mary Wells and Tammi Terrell.
His early 1970s releases, What's Going On and Let's Get It On paved the way for the concept album format in R&B music in the 1970s while the Let's Get It On and I Want You albums helped influence the quiet storm, urban contemporary and slow jam genres. After a self-imposed tax exile in Europe in the early 1980s, Gaye returned on the 1982 Grammy-Award winning hit, ""Sexual Healing"" and the Midnight Love album. After a violent argument with his father, he was shot dead by him on April 1, 1984.
In 2008, the American music magazine Rolling Stone ranked Gaye at number 6 on its list of the Greatest Singers of All Time, and ranked at number 18 on 100 Greatest Artists of All Time, and he ranked number 20 on VH1's list of 100 Greatest Artists of All Time. Gaye was posthumously inducted into the Rock and Roll Hall of Fame in 1987."
R&B,Rock/Pop,"Chicago, USA",Good Natured,"Earth, Wind & Fire is an American band that has spanned the musical genres of soul, disco, R&B, funk, jazz and rock. They are one of the most successful and critically acclaimed bands of the twentieth century. Rolling Stone magazine has described them as ""innovative, precise yet sensual, calculated yet galvanizing"" and has also declared that the band ""changed the sound of black pop"".
Also known as EWF, the band was founded in Chicago by Maurice White in 1969. Other members have included Philip Bailey, Verdine White, Ralph Johnson, Larry Dunn, and Al McKay. The band has received 20 Grammy nominations; winning six as a group with two of its members, Maurice White and Bailey, winning separate individual awards. Earth, Wind & Fire have 12 American Music Awards nominations and four awards. They have been inducted into the Rock and Roll Hall of Fame and the Vocal Group Hall of Fame, received a star on the Hollywood Walk of Fame, and have sold over 90 million albums worldwide. Five members of Earth, Wind & Fire were also inducted into the Songwriters Hall of Fame: Maurice White, Philip Bailey, Verdine White, Larry Dunn and Al McKay. The music industry and fans have bestowed Lifetime Achievement honors from the American Society of Composers, Authors and Publishers (Rhythm & Soul Heritage Award - 2002), NAACP (Hall of Fame - 1994) and the BET Awards (Lifetime Achievement Award - 2002).
Earth, Wind & Fire is known for the dynamic sound of their horn section, their energetic and elaborate stage shows, and the interplay between the contrasting vocals of Philip Bailey's falsetto and Maurice White's tenor. The kalimba (African thumb piano) is played on all of the band's albums. In the 1970s and early 1980s, the band had many hits, including ""Shining Star"", ""That's the Way of the World"", ""Devotion"", ""Reasons"", ""Sing a Song"", ""Can't Hide Love"", ""Getaway"", ""Fantasy"", ""Love's Holiday"", ""September"", ""Boogie Wonderland"", ""After the Love Has Gone"", and ""Let's Groove"". Two Earth, Wind & Fire classic songs have been inducted into the Grammy Hall of Fame: ""That’s The Way of The World"" (2004) and ""Shining Star"" (2007).
The band is also known as having been the first African-American performers to sell out Madison Square Garden and to receive the MSG Gold Ticket Award. President Barack Obama invited Earth, Wind & Fire to perform at the White House for the first social event of the new administration."
Latin,,"Medellín, Colombia",,
R&B,Urban/R&B,"Rio de Janeiro, Brasil",,"Ronaldo Jorge Silva was born on April 19, 1981 in Bonsucesso neighborhood, Rio de Janeiro. His father is electric welder and her mother a housewife. Naldo has seven siblings.  Son of evangelical family, he began singing in a church next to his house as a child.  At age 15 he formed the duo MCs Naldo and Lula, alongside his brother, with whom he sang for almost 10 years. At that time did singing lessons and musical instruments. In 2008 his brother Lula was found charred in a slum in Rio de Janeiro, after a month disappeared. 
The artist was known for MC Naldo, but in late 2012 decided to change his stage name to Benny Naldo. He explained that the radio BEAT98 Benny comes from Hebrew and means ""blessed"".  Naldo flirts with the fruit-woman Ellen Cardoso. He has a 15 year old son, Pablo. "
Latin,Reggae,"Ponce, Puerto Rico",Gritty,"David Sánchez Badillo (born September 25, 1977), better known as Tempo, is a Puerto Rican rapper and songwriter. Tempo was born in Ponce, Puerto Rico in 1977. Tempo studied in the Escuela Libre de Música Juan Morel Campos of the municipality. At the age of five, he moved to upstate New York, Rockland County, with his family for a period of four years.
He returned to Puerto Rico, and at the age of 11 began to write his first rap lyrics. He began his career by participating in talent shows."
Latin,,,,
Nu Metal,Metal,"Jacksonville, Florida, USA",Angry,"Limp Bizkit is an American rock band from Jacksonville, Florida, formed in 1994. As of 2012, the band consists of Fred Durst (vocals), Wes Borland (guitar), Sam Rivers (bass), and John Otto (drums). Formed in 1994, Limp Bizkit started playing in the Jacksonville, Florida underground music scene in the late 1990s, signing with Flip Records and releasing their début album Three Dollar Bill, Yall$ in 1997. The band achieved mainstream success and notoriety with their second and third studio albums, Significant Other (1999) and Chocolate Starfish and the Hot Dog Flavored Water (2000). To date, the group has sold over 33 million records worldwide. 
Borland left the group in 2001, and Durst, Rivers, Otto and Lethal continued to record and tour with guitarist Mike Smith. Following the release of their album Results May Vary (2003), Borland rejoined the band and recorded The Unquestionable Truth (Part 1) (2005) with Durst, Rivers, Lethal and drummer Sammy Siegler before going on hiatus. In 2009, the band's original lineup reunited and began touring, culminating with the recording of the album Gold Cobra (2011), after which they left Interscope and later signed with Cash Money Records.
Fred Durst grew up in Gastonia, North Carolina, where he took an interest in breakdancing, hip hop, punk rock and heavy metal. He began to rap, skate, beatbox and deejay. While mowing lawns and working as a tattoo artist, he developed an idea for a band that combined elements of rock and hip hop. Durst played with three other bands, Split 26, Malachi Sage, which were unsuccessful, and 10 Foot Shindig, which Durst left to form a new band. Durst told Sam Rivers, the bassist for Malachi Sage, ""You need to quit this band and start a band with me that's like this: rappin' and rockin'."" Rivers suggested that his cousin, John Otto, who was studying jazz drumming at the Douglas Anderson School of the Arts and playing in local avant garde bands, become their drummer. Durst, Rivers and Otto jammed and wrote three songs together, and Wes Borland later joined as a guitarist."
Metal,Rock/Pop,"California, USA",Confrontational,"Papa Roach is a nu metal rock band from Vacaville, California, United States. Formed in 1993, it consists of Jacoby Shaddix (vocals), Jerry Horton (guitar), Tobin Esperance (bass), and Tony Palermo (drums). Tony, previously of Unwritten Law, joined the band after the departure of one of the band’s founding members, Dave Buckner.
Papa Roach has sold more than 10 million album copies worldwide, and are known for their hits “Last Resort”, “Scars”, “Forever”, and “Lifeline”, among others.

They had mostly regional success until their breakthrough with the hit single “Last Resort” from their first major label album, Infest. The band’s latest album titled Metamorphosis was released March 24th, 2009, with the singles “Lifeline” and “Hollywood Whore” available at digital retailers. They released a live album w/ 5 new tracks August 31, 2010 named “Time for Annihilation…On the Record and On the Road”, with the first singles being “Kick In The Teeth” and “No Matter What”.

The Still Swinging Songfacts reports that Papa Roach’s eighth studio album, The Connection, was recorded at the band’s hometown studio, The Red House in Sacramento, California. The long player was produced by James Michael (Sixx:A.M., Halestorm) and John Feldmann (Panic at the Disco, The Used, Escape the Fate). A release date for the album is planned on October 2, 2012."
Nu Metal,Metal,"Bakersfield, California, USA",Angry,"Korn (stylized as KoЯn) is an American rock band from Bakersfield, California, formed in 1993. The current band line up includes four members: Jonathan Davis, James ""Munky"" Shaffer, Reginald ""Fieldy"" Arvizu and Ray Luzier. Korn was originally formed by three of the members of the band L.A.P.D.. The band released their first demo album Neidermeyer's Mind, in 1993. Their debut album Korn, was released in October 1994. The band began recording Life Is Peachy in April 1996, and released it in October 1996. Follow the Leader is recognized as Korn's mainstream breakthrough, peaking at number one on the Billboard 200 in August 1998, along with the following album Issues, in November 1999. The band released Untouchables in June 2002, and released Take a Look in the Mirror in November 2003.
Their first compilation album Greatest Hits Vol. 1, was released in October 2004, concluding Korn's contract with Epic and Immortal Records. They signed to Virgin Records, releasing See You on the Other Side in December 2005, and an untitled album in July 2007. Korn's latest albums, Korn III: Remember Who You Are and The Path of Totality, were released via Roadrunner Records in July 2010 and December 2011, respectively. Korn has sold 19 million albums in the US according to Nielsen SoundScan, and 35 million worldwide. Eleven of the band's official releases have peaked in the top ten of the Billboard 200, eight of which have peaked in the top five. Eight official releases are certified Platinum or Multi-Platinum by the RIAA, and one is certified Gold. Korn have released six video albums and 39 music videos. They currently have 41 singles, 28 of which have charted. Korn have earned two Grammy Awards out of seven nominations, for ""Freak on a Leash"" and ""Here to Stay""."
Metalcore,Metal,"Richmond, Virginia, USA",,"Bad Omens is an American metalcore band from Richmond, Virginia formed in 2015 by frontman Noah Sebastian, guitarist Nicholas Ruffilo, and bassist Vincent Riquier. The band later added guitarist Joakim ""Jolly"" Karlsson and drummer Nick Folio, releasing its critically acclaimed debut self-titled album in 2016 off Sumerian Records. A second album, Finding God Before God Finds Me was released in 2019. Two singles from the album, ""Limits"" and ""Never Know"", charted on the Billboard Mainstream Rock Songs chart."
Nu Metal,Metal,"Des Moines, Iowa, USA",Intense,"Slipknot is an American nu metal band from Des Moines, Iowa. Formed in 1995, the group was founded by percussionist Shawn Crahan and bassist Paul Gray. After several lineup changes in their early days, the band consisted of nine members for the greater part of their tenure: Sid Wilson, Paul Gray, Joey Jordison, Chris Fehn, Jim Root, Craig Jones, Shawn Crahan, Mick Thomson, and Corey Taylor. However, the death of Paul Gray on May 24, 2010, left the band with only eight remaining members. Former guitarist Donnie Steele was the band's touring bassist in 2011.

The band is known for its attention-grabbing image; the members wear matching uniforms, have unique masks respectively and have aliases which are simply numbers. The original idea of wearing masks while performing is often attributed to a clown mask that percussionist Crahan would bring to rehearsals when the band first started. The concept developed, and by late 1997, the band decided that every member of the band would wear unique masks and matching jumpsuits. Vocalist Taylor had this to say when questioned about the masks in 2002: ""it's our way of becoming more intimate with the music. It's a way for us to become unconscious of who we are and what we do outside of music. It's a way for us to kind of crawl inside it and be able to use it."" The concept behind wearing matching jumpsuits has been described as a response to commercialism in the music business and led to the idea of assigning the band members numerical aliases. ""Originally, we were just going to wear the jumpsuits  we figured we might as well take that further and number ourselves.  We were basically saying, 'Hey, we're a product!'"" explained Taylor. Their image has been the subject of much criticism, generally thought of as a gimmick to try sell more albums. The band strongly objects to these claims, proclaiming that the masks are used to draw the attention away from themselves as individuals and put it on the music. Several band members have noted that wearing the masks also helps keep their personal lives private. During an interview in 2005, percussionist Fehn went as far as saying it was a ""blessing"" that they do not get recognized.

Slipknot has been the subject of many controversies throughout their career, both for their image and their music. The lyrical content of some of Slipknot's songs has been linked to several violent and criminal incidents. One such case from 2003 involved a pair of young killers who blamed the lyrics from the song ""Disasterpiece"" for their vicious crime. Another from 2006 involved the lyrics from the song ""Surfacing"" being found at the site of a grave robbing. Slipknot deny any responsibility in cases like this and to date have not been proven to be liable in any cases of this nature. In 2008, vocalist Taylor commented on a stabbing in South Africa that Slipknot were linked to, saying: ""obviously, I'm disturbed by the fact that people were hurt and someone died, as far as my responsibility for that goes, it stops there, because I know our message is actually very positive."" Furthering his point by saying: ""there are always going to be mental disorders and people who cause violence for no other reason than the fact that they're fucked up and lost."""
